,Shark_sp,Deadly_act
1176,tiger shark,fishing
1177,undef. shark,swimming
1178,undef. shark,sailing
1179,undef. shark,fishing
1180,tiger shark,fishing
1181,undef. shark,undef. act
1182,white shark,diving
1183,undef. shark,swimming
1184,tiger shark,swimming
1185,undef. shark,surfing
1186,undef. shark,surfing
1187,tiger shark,surfing
1188,undef. shark,surfing
1189,undef. shark,surfing
1190,white shark,surfing
1191,nurse shark,fishing
1192,white shark,sailing
1193,undef. shark,undef. act
1194,undef. shark,swimming
1195,bull shark,surfing
1196,white shark,surfing
1197,undef. shark,fishing
1198,undef. shark,surfing
1199,undef. shark,surfing
1200,undef. shark,surfing
1201,undef. shark,diving
1202,undef. shark,undef. act
1203,undef. shark,fishing
1204,undef. shark,surfing
1205,nurse shark,diving
1206,undef. shark,surfing
1207,undef. shark,swimming
1208,undef. shark,surfing
1209,undef. shark,diving
1210,undef. shark,undef. act
1211,undef. shark,sailing
1212,undef. shark,swimming
1213,white shark,surfing
1214,undef. shark,surfing
1215,copper shark,surfing
1216,undef. shark,sailing
1217,undef. shark,undef. act
1218,undef. shark,fishing
1219,undef. shark,undef. act
1220,undef. shark,surfing
1221,undef. shark,surfing
1222,white shark,swimming
1223,undef. shark,swimming
1224,bull shark,fishing
1225,undef. shark,undef. act
1226,white shark,surfing
1227,mako shark,sailing
1228,undef. shark,surfing
1229,white shark,surfing
1230,undef. shark,surfing
1231,bull shark,fishing
1232,undef. shark,undef. act
1233,undef. shark,sailing
1234,undef. shark,swimming
1235,undef. shark,swimming
1236,tiger shark,undef. act
1237,undef. shark,swimming
1238,undef. shark,sailing
1239,bull shark,sailing
1240,undef. shark,swimming
1241,reef shark,fishing
1242,reef shark,fishing
1243,undef. shark,sailing
1244,undef. shark,fishing
1245,undef. shark,fishing
1246,undef. shark,surfing
1247,undef. shark,sailing
1248,undef. shark,diving
1249,undef. shark,surfing
1250,undef. shark,surfing
1251,white shark,surfing
1252,tiger shark,fishing
1253,tiger shark,undef. act
1254,undef. shark,surfing
1255,reef shark,fishing
1256,undef. shark,surfing
1257,tiger shark,diving
1258,undef. shark,undef. act
1259,undef. shark,swimming
1260,undef. shark,diving
1261,undef. shark,undef. act
1262,undef. shark,surfing
1263,undef. shark,sailing
1264,bull shark,fishing
1265,copper shark,surfing
1266,nurse shark,sailing
1267,tiger shark,swimming
1268,undef. shark,swimming
1269,undef. shark,fishing
1270,tiger shark,surfing
1271,undef. shark,swimming
1272,tiger shark,surfing
1273,copper shark,surfing
1274,undef. shark,sailing
1275,undef. shark,diving
1276,undef. shark,swimming
1277,undef. shark,swimming
1278,white shark,fishing
1279,nurse shark,surfing
1280,tiger shark,swimming
1281,undef. shark,surfing
1282,undef. shark,undef. act
1283,undef. shark,fishing
1284,undef. shark,undef. act
1285,undef. shark,surfing
1286,white shark,diving
1287,undef. shark,diving
1288,bull shark,swimming
1289,undef. shark,surfing
1290,undef. shark,diving
1291,white shark,surfing
1292,tiger shark,swimming
1293,undef. shark,undef. act
1294,reef shark,fishing
1295,white shark,fishing
1296,undef. shark,surfing
1297,undef. shark,surfing
1298,white shark,fishing
1299,undef. shark,surfing
1300,undef. shark,surfing
1301,undef. shark,fishing
1302,undef. shark,surfing
1303,undef. shark,surfing
1304,white shark,undef. act
1305,nurse shark,fishing
1306,undef. shark,surfing
1307,undef. shark,surfing
1308,white shark,surfing
1309,undef. shark,swimming
1310,undef. shark,sailing
1311,undef. shark,sailing
1312,white shark,surfing
1313,white shark,surfing
1314,undef. shark,swimming
1315,tiger shark,surfing
1316,reef shark,diving
1317,undef. shark,sailing
1318,undef. shark,diving
1319,white shark,surfing
1320,tiger shark,surfing
1321,white shark,surfing
1322,copper shark,surfing
1323,undef. shark,surfing
1324,undef. shark,surfing
1325,undef. shark,surfing
1326,undef. shark,sailing
1327,bull shark,swimming
1328,white shark,surfing
1329,undef. shark,sailing
1330,undef. shark,undef. act
1331,white shark,diving
1332,white shark,surfing
1333,blacktip shark,sailing
1334,undef. shark,swimming
1335,undef. shark,sailing
1336,undef. shark,undef. act
1337,undef. shark,surfing
1338,undef. shark,swimming
1339,bull shark,fishing
1340,undef. shark,swimming
1341,undef. shark,surfing
1342,undef. shark,surfing
1343,undef. shark,swimming
1344,undef. shark,diving
1345,undef. shark,undef. act
1346,undef. shark,swimming
1347,undef. shark,undef. act
1348,undef. shark,sailing
1349,bull shark,fishing
1350,bull shark,swimming
1351,undef. shark,swimming
1352,undef. shark,surfing
1353,undef. shark,swimming
1354,undef. shark,swimming
1355,white shark,diving
1356,undef. shark,sailing
1357,white shark,surfing
1358,white shark,fishing
1359,undef. shark,swimming
1360,undef. shark,swimming
1361,undef. shark,undef. act
1362,nurse shark,surfing
1363,blacktip shark,fishing
1364,tiger shark,surfing
1365,undef. shark,fishing
1366,undef. shark,undef. act
1367,tiger shark,surfing
1368,mako shark,fishing
1369,undef. shark,undef. act
1370,copper shark,fishing
1371,copper shark,surfing
1372,blacktip shark,swimming
1373,undef. shark,surfing
1374,undef. shark,surfing
1375,hammerhead shark,undef. act
1376,undef. shark,diving
1377,undef. shark,surfing
1378,undef. shark,surfing
1379,undef. shark,surfing
1380,white shark,diving
1381,nurse shark,diving
1382,tiger shark,undef. act
1383,copper shark,fishing
1384,undef. shark,diving
1385,bull shark,swimming
1386,nurse shark,fishing
1387,tiger shark,surfing
1388,reef shark,fishing
1389,undef. shark,surfing
1390,undef. shark,swimming
1391,undef. shark,fishing
1392,copper shark,swimming
1393,white shark,fishing
1394,undef. shark,undef. act
1395,white shark,undef. act
1396,bull shark,fishing
1397,nurse shark,surfing
1398,nurse shark,surfing
1399,white shark,swimming
1400,white shark,surfing
1401,undef. shark,diving
1402,undef. shark,diving
1403,bull shark,diving
1404,white shark,undef. act
1405,white shark,undef. act
1406,copper shark,surfing
1407,white shark,surfing
1408,tiger shark,fishing
1409,nurse shark,surfing
1410,tiger shark,sailing
1411,undef. shark,surfing
1412,undef. shark,surfing
1413,tiger shark,fishing
1414,white shark,surfing
1415,undef. shark,fishing
1416,undef. shark,swimming
1417,undef. shark,undef. act
1418,undef. shark,sailing
1419,tiger shark,swimming
1420,white shark,surfing
1421,white shark,diving
1422,undef. shark,swimming
1423,undef. shark,fishing
1424,white shark,fishing
1425,undef. shark,surfing
1426,white shark,diving
1427,undef. shark,surfing
1428,undef. shark,swimming
1429,undef. shark,swimming
1430,bull shark,swimming
1431,white shark,fishing
1432,mako shark,fishing
1433,undef. shark,surfing
1434,undef. shark,diving
1435,undef. shark,swimming
1436,white shark,surfing
1437,undef. shark,undef. act
1438,undef. shark,diving
1439,copper shark,sailing
1440,undef. shark,swimming
1441,white shark,swimming
1442,undef. shark,swimming
1443,bull shark,swimming
1444,undef. shark,surfing
1445,undef. shark,sailing
1446,undef. shark,swimming
1447,undef. shark,undef. act
1448,undef. shark,swimming
1449,reef shark,diving
1450,mako shark,surfing
1451,undef. shark,swimming
1452,undef. shark,diving
1453,white shark,fishing
1454,undef. shark,fishing
1455,undef. shark,fishing
1456,tiger shark,surfing
1457,white shark,surfing
1458,undef. shark,surfing
1459,undef. shark,undef. act
1460,bull shark,surfing
1461,bull shark,sailing
1462,bull shark,surfing
1463,undef. shark,surfing
1464,undef. shark,swimming
1465,undef. shark,diving
1466,copper shark,fishing
1467,tiger shark,surfing
1468,copper shark,fishing
1469,undef. shark,swimming
1470,undef. shark,surfing
1471,undef. shark,swimming
1472,undef. shark,diving
1473,undef. shark,diving
1474,undef. shark,diving
1475,white shark,diving
1476,nurse shark,surfing
1477,undef. shark,sailing
1478,bull shark,swimming
1479,bull shark,fishing
1480,mako shark,surfing
1481,nurse shark,diving
1482,nurse shark,surfing
1483,undef. shark,surfing
1484,undef. shark,undef. act
1485,undef. shark,surfing
1486,mako shark,undef. act
1487,undef. shark,swimming
1488,undef. shark,swimming
1489,undef. shark,swimming
1490,undef. shark,surfing
1491,undef. shark,swimming
1492,undef. shark,swimming
1493,tiger shark,fishing
1494,undef. shark,surfing
1495,tiger shark,swimming
1496,undef. shark,surfing
1497,copper shark,diving
1498,white shark,surfing
1499,undef. shark,sailing
1500,nurse shark,fishing
1501,undef. shark,surfing
1502,nurse shark,surfing
1503,tiger shark,surfing
1504,undef. shark,surfing
1505,undef. shark,diving
1506,undef. shark,surfing
1507,undef. shark,swimming
1508,undef. shark,surfing
1509,undef. shark,surfing
1510,undef. shark,surfing
1511,undef. shark,surfing
1512,undef. shark,swimming
1513,undef. shark,swimming
1514,undef. shark,surfing
1515,undef. shark,surfing
1516,undef. shark,surfing
1517,undef. shark,surfing
1518,undef. shark,surfing
1519,undef. shark,fishing
1520,undef. shark,swimming
1521,undef. shark,sailing
1522,undef. shark,sailing
1523,white shark,sailing
1524,undef. shark,fishing
1525,bull shark,fishing
1526,white shark,swimming
1527,undef. shark,swimming
1528,white shark,surfing
1529,undef. shark,surfing
1530,undef. shark,surfing
1531,undef. shark,swimming
1532,undef. shark,fishing
1533,undef. shark,sailing
1534,undef. shark,surfing
1535,bull shark,fishing
1536,hammerhead shark,fishing
1537,undef. shark,fishing
1538,reef shark,diving
1539,undef. shark,surfing
1540,undef. shark,surfing
1541,undef. shark,undef. act
1542,undef. shark,sailing
1543,undef. shark,swimming
1544,undef. shark,swimming
1545,undef. shark,surfing
1546,undef. shark,surfing
1547,undef. shark,swimming
1548,undef. shark,surfing
1549,undef. shark,swimming
1550,reef shark,swimming
1551,undef. shark,surfing
1552,undef. shark,sailing
1553,white shark,undef. act
1554,undef. shark,undef. act
1555,undef. shark,swimming
1556,bull shark,surfing
1557,undef. shark,swimming
1558,undef. shark,surfing
1559,undef. shark,surfing
1560,undef. shark,surfing
1561,undef. shark,surfing
1562,undef. shark,surfing
1563,undef. shark,undef. act
1564,undef. shark,surfing
1565,undef. shark,swimming
1566,mako shark,surfing
1567,undef. shark,surfing
1568,undef. shark,surfing
1569,undef. shark,undef. act
1570,white shark,diving
1571,undef. shark,swimming
1572,undef. shark,swimming
1573,nurse shark,swimming
1574,bull shark,swimming
1575,undef. shark,undef. act
1576,bull shark,surfing
1577,copper shark,surfing
1578,hammerhead shark,diving
1579,white shark,diving
1580,undef. shark,diving
1581,undef. shark,swimming
1582,bull shark,swimming
1583,undef. shark,surfing
1584,blacktip shark,diving
1585,white shark,sailing
1586,undef. shark,swimming
1587,reef shark,diving
1588,undef. shark,surfing
1589,undef. shark,sailing
1590,undef. shark,fishing
1591,undef. shark,swimming
1592,bull shark,swimming
1593,undef. shark,surfing
1594,undef. shark,surfing
1595,undef. shark,surfing
1596,undef. shark,surfing
1597,undef. shark,surfing
1598,undef. shark,surfing
1599,blacktip shark,fishing
1600,blacktip shark,fishing
1601,tiger shark,swimming
1602,undef. shark,sailing
1603,undef. shark,surfing
1604,tiger shark,swimming
1605,undef. shark,sailing
1606,white shark,surfing
1607,undef. shark,sailing
1608,undef. shark,swimming
1609,tiger shark,surfing
1610,undef. shark,swimming
1611,undef. shark,surfing
1612,nurse shark,surfing
1613,undef. shark,sailing
1614,nurse shark,diving
1615,undef. shark,sailing
1616,undef. shark,surfing
1617,bull shark,swimming
1618,undef. shark,surfing
1619,mako shark,fishing
1620,tiger shark,surfing
1621,undef. shark,sailing
1622,undef. shark,surfing
1623,undef. shark,swimming
1624,undef. shark,undef. act
1625,undef. shark,undef. act
1626,undef. shark,swimming
1627,tiger shark,surfing
1628,undef. shark,surfing
1629,undef. shark,surfing
1630,undef. shark,swimming
1631,copper shark,diving
1632,white shark,surfing
1633,undef. shark,sailing
1634,blacktip shark,fishing
1635,undef. shark,surfing
1636,bull shark,surfing
1637,undef. shark,fishing
1638,undef. shark,fishing
1639,undef. shark,surfing
1640,undef. shark,fishing
1641,white shark,diving
1642,undef. shark,fishing
1643,undef. shark,surfing
1644,undef. shark,surfing
1645,undef. shark,swimming
1646,bull shark,sailing
1647,undef. shark,swimming
1648,undef. shark,swimming
1649,tiger shark,sailing
1650,undef. shark,swimming
1651,undef. shark,swimming
1652,undef. shark,swimming
1653,nurse shark,diving
1654,undef. shark,surfing
1655,undef. shark,fishing
1656,undef. shark,fishing
1657,copper shark,surfing
1658,undef. shark,undef. act
1659,undef. shark,surfing
1660,tiger shark,surfing
1661,undef. shark,swimming
1662,bull shark,fishing
1663,undef. shark,swimming
1664,undef. shark,surfing
1665,tiger shark,diving
1666,undef. shark,surfing
1667,copper shark,surfing
1668,undef. shark,surfing
1669,undef. shark,surfing
1670,mako shark,sailing
1671,copper shark,diving
1672,tiger shark,surfing
1673,white shark,undef. act
1674,undef. shark,surfing
1675,undef. shark,surfing
1676,undef. shark,diving
1677,undef. shark,sailing
1678,undef. shark,surfing
1679,nurse shark,diving
1680,undef. shark,fishing
1681,undef. shark,sailing
1682,undef. shark,swimming
1683,white shark,swimming
1684,white shark,swimming
1685,undef. shark,swimming
1686,bull shark,swimming
1687,bull shark,fishing
1688,undef. shark,sailing
1689,undef. shark,swimming
1690,undef. shark,sailing
1691,undef. shark,sailing
1692,undef. shark,surfing
1693,undef. shark,surfing
1694,undef. shark,surfing
1695,undef. shark,surfing
1696,undef. shark,surfing
1697,undef. shark,surfing
1698,undef. shark,surfing
1699,blacktip shark,surfing
1700,bull shark,fishing
1701,undef. shark,undef. act
1702,undef. shark,undef. act
1703,undef. shark,swimming
1704,undef. shark,fishing
1705,undef. shark,undef. act
1706,undef. shark,undef. act
1707,nurse shark,undef. act
1708,mako shark,fishing
1709,undef. shark,surfing
1710,undef. shark,sailing
1711,undef. shark,surfing
1712,bull shark,swimming
1713,undef. shark,undef. act
1714,undef. shark,sailing
1715,undef. shark,swimming
1716,white shark,fishing
1717,undef. shark,undef. act
1718,undef. shark,swimming
1719,undef. shark,undef. act
1720,undef. shark,swimming
1721,undef. shark,swimming
1722,undef. shark,fishing
1723,undef. shark,undef. act
1724,white shark,surfing
1725,undef. shark,surfing
1726,undef. shark,surfing
1727,undef. shark,fishing
1728,undef. shark,sailing
1729,undef. shark,surfing
1730,undef. shark,surfing
1731,undef. shark,undef. act
1732,undef. shark,surfing
1733,undef. shark,surfing
1734,undef. shark,sailing
1735,undef. shark,surfing
1736,undef. shark,surfing
1737,undef. shark,surfing
1738,reef shark,surfing
1739,undef. shark,surfing
1740,white shark,surfing
1741,undef. shark,diving
1742,undef. shark,sailing
1743,undef. shark,undef. act
1744,copper shark,surfing
1745,undef. shark,sailing
1746,undef. shark,surfing
1747,undef. shark,swimming
1748,undef. shark,swimming
1749,tiger shark,sailing
1750,white shark,fishing
1751,undef. shark,undef. act
1752,copper shark,surfing
1753,undef. shark,surfing
1754,undef. shark,swimming
1755,white shark,fishing
1756,undef. shark,surfing
1757,white shark,surfing
1758,undef. shark,diving
1759,undef. shark,swimming
1760,white shark,fishing
1761,undef. shark,diving
1762,copper shark,fishing
1763,undef. shark,surfing
1764,tiger shark,diving
1765,undef. shark,undef. act
1766,undef. shark,swimming
1767,bull shark,sailing
1768,white shark,swimming
1769,white shark,swimming
1770,white shark,surfing
1771,white shark,fishing
1772,undef. shark,surfing
1773,tiger shark,swimming
1774,undef. shark,swimming
1775,undef. shark,surfing
1776,blacktip shark,surfing
1777,undef. shark,surfing
1778,undef. shark,surfing
1779,white shark,surfing
1780,white shark,surfing
1781,white shark,surfing
1782,undef. shark,undef. act
1783,white shark,surfing
1784,undef. shark,undef. act
1785,undef. shark,sailing
1786,undef. shark,surfing
1787,undef. shark,swimming
1788,undef. shark,swimming
1789,white shark,diving
1790,bull shark,swimming
1791,undef. shark,swimming
1792,tiger shark,surfing
1793,bull shark,swimming
1794,undef. shark,swimming
1795,bull shark,undef. act
1796,undef. shark,undef. act
1797,undef. shark,swimming
1798,tiger shark,surfing
1799,undef. shark,surfing
1800,blacktip shark,sailing
1801,undef. shark,swimming
1802,undef. shark,swimming
1803,bull shark,swimming
1804,undef. shark,undef. act
1805,nurse shark,diving
1806,undef. shark,surfing
1807,undef. shark,surfing
1808,undef. shark,surfing
1809,undef. shark,surfing
1810,undef. shark,surfing
1811,reef shark,diving
1812,undef. shark,swimming
1813,undef. shark,swimming
1814,undef. shark,undef. act
1815,tiger shark,surfing
1816,undef. shark,swimming
1817,nurse shark,fishing
1818,undef. shark,swimming
1819,undef. shark,sailing
1820,bull shark,swimming
1821,undef. shark,undef. act
1822,mako shark,fishing
1823,undef. shark,sailing
1824,bull shark,sailing
1825,blacktip shark,surfing
1826,bull shark,swimming
1827,bull shark,swimming
1828,undef. shark,diving
1829,bull shark,swimming
1830,tiger shark,undef. act
1831,undef. shark,undef. act
1832,undef. shark,sailing
1833,undef. shark,diving
1834,undef. shark,sailing
1835,undef. shark,sailing
1836,undef. shark,fishing
1837,undef. shark,swimming
1838,undef. shark,sailing
1839,undef. shark,surfing
1840,tiger shark,fishing
1841,tiger shark,surfing
1842,undef. shark,surfing
1843,undef. shark,surfing
1844,undef. shark,surfing
1845,undef. shark,swimming
1846,mako shark,fishing
1847,undef. shark,undef. act
1848,white shark,surfing
1849,blacktip shark,undef. act
1850,undef. shark,surfing
1851,undef. shark,surfing
1852,undef. shark,undef. act
1853,undef. shark,diving
1854,hammerhead shark,fishing
1855,undef. shark,surfing
1856,undef. shark,swimming
1857,undef. shark,swimming
1858,tiger shark,surfing
1859,undef. shark,diving
1860,blacktip shark,fishing
1861,undef. shark,surfing
1862,undef. shark,surfing
1863,tiger shark,swimming
1864,white shark,surfing
1865,white shark,surfing
1866,undef. shark,fishing
1867,reef shark,swimming
1868,reef shark,swimming
1869,undef. shark,sailing
1870,undef. shark,surfing
1871,undef. shark,surfing
1872,tiger shark,surfing
1873,undef. shark,swimming
1874,white shark,fishing
1875,undef. shark,swimming
1876,undef. shark,swimming
1877,undef. shark,surfing
1878,undef. shark,swimming
1879,undef. shark,swimming
1880,undef. shark,surfing
1881,undef. shark,surfing
1882,undef. shark,fishing
1883,undef. shark,surfing
1884,undef. shark,undef. act
1885,undef. shark,surfing
1886,bull shark,fishing
1887,white shark,surfing
1888,bull shark,swimming
1889,tiger shark,surfing
1890,white shark,sailing
1891,undef. shark,undef. act
1892,blacktip shark,swimming
1893,white shark,surfing
1894,undef. shark,undef. act
1895,undef. shark,surfing
1896,undef. shark,swimming
1897,undef. shark,swimming
1898,white shark,surfing
1899,tiger shark,surfing
1900,reef shark,swimming
1901,bull shark,swimming
1902,undef. shark,surfing
1903,undef. shark,fishing
1904,undef. shark,undef. act
1905,undef. shark,swimming
1906,undef. shark,fishing
1907,mako shark,fishing
1908,undef. shark,surfing
1909,undef. shark,swimming
1910,undef. shark,undef. act
1911,tiger shark,surfing
1912,undef. shark,surfing
1913,bull shark,fishing
1914,white shark,surfing
1915,undef. shark,undef. act
1916,undef. shark,fishing
1917,bull shark,fishing
1918,white shark,fishing
1919,undef. shark,surfing
1920,undef. shark,surfing
1921,undef. shark,sailing
1922,white shark,surfing
1923,undef. shark,swimming
1924,undef. shark,surfing
1925,tiger shark,swimming
1926,undef. shark,surfing
1927,undef. shark,sailing
1928,white shark,surfing
1929,undef. shark,fishing
1930,white shark,surfing
1931,undef. shark,swimming
1932,undef. shark,surfing
1933,undef. shark,surfing
1934,undef. shark,surfing
1935,undef. shark,diving
1936,undef. shark,undef. act
1937,undef. shark,surfing
1938,undef. shark,surfing
1939,undef. shark,fishing
1940,undef. shark,surfing
1941,undef. shark,fishing
1942,undef. shark,surfing
1943,undef. shark,fishing
1944,white shark,sailing
1945,undef. shark,fishing
1946,reef shark,fishing
1947,undef. shark,sailing
1948,nurse shark,undef. act
1949,white shark,surfing
1950,white shark,fishing
1951,undef. shark,surfing
1952,undef. shark,surfing
1953,nurse shark,swimming
1954,undef. shark,surfing
1955,nurse shark,surfing
1956,white shark,diving
1957,white shark,sailing
1958,undef. shark,surfing
1959,undef. shark,surfing
1960,undef. shark,surfing
1961,white shark,sailing
1962,undef. shark,sailing
1963,undef. shark,surfing
1964,undef. shark,swimming
1965,undef. shark,swimming
1966,white shark,sailing
1967,undef. shark,undef. act
1968,white shark,surfing
1969,nurse shark,diving
1970,undef. shark,swimming
1971,undef. shark,undef. act
1972,undef. shark,swimming
1973,white shark,diving
1974,undef. shark,swimming
1975,undef. shark,swimming
1976,undef. shark,fishing
1977,undef. shark,surfing
1978,undef. shark,swimming
1979,undef. shark,surfing
1980,undef. shark,surfing
1981,undef. shark,surfing
1982,undef. shark,surfing
1983,undef. shark,diving
1984,nurse shark,fishing
1985,white shark,fishing
1986,undef. shark,surfing
1987,undef. shark,undef. act
1988,undef. shark,swimming
1989,white shark,diving
1990,undef. shark,swimming
1991,undef. shark,undef. act
1992,white shark,surfing
1993,tiger shark,sailing
1994,blacktip shark,surfing
1995,undef. shark,surfing
1996,undef. shark,fishing
1997,undef. shark,swimming
1998,undef. shark,swimming
1999,undef. shark,surfing
2000,blacktip shark,surfing
2001,undef. shark,surfing
2002,undef. shark,surfing
2003,undef. shark,sailing
2004,white shark,surfing
2005,undef. shark,diving
2006,tiger shark,diving
2007,undef. shark,sailing
2008,undef. shark,fishing
2009,copper shark,fishing
2010,undef. shark,sailing
2011,undef. shark,surfing
2012,undef. shark,swimming
2013,undef. shark,fishing
2014,undef. shark,surfing
2015,undef. shark,swimming
2016,undef. shark,surfing
2017,white shark,surfing
2018,undef. shark,surfing
2019,blacktip shark,sailing
2020,white shark,fishing
2021,undef. shark,surfing
2022,undef. shark,fishing
2023,tiger shark,diving
2024,undef. shark,surfing
2025,undef. shark,swimming
2026,undef. shark,surfing
2027,undef. shark,fishing
2028,undef. shark,surfing
2029,undef. shark,surfing
2030,reef shark,fishing
2031,undef. shark,fishing
2032,white shark,surfing
2033,undef. shark,swimming
2034,tiger shark,diving
2035,undef. shark,undef. act
2036,undef. shark,undef. act
2037,undef. shark,surfing
2038,undef. shark,diving
2039,tiger shark,surfing
2040,bull shark,fishing
2041,white shark,undef. act
2042,undef. shark,surfing
2043,white shark,surfing
2044,undef. shark,fishing
2045,undef. shark,swimming
2046,white shark,surfing
2047,undef. shark,surfing
2048,undef. shark,surfing
2049,undef. shark,surfing
2050,undef. shark,swimming
2051,white shark,surfing
2052,undef. shark,surfing
2053,white shark,surfing
2054,undef. shark,undef. act
2055,undef. shark,swimming
2056,white shark,diving
2057,undef. shark,surfing
2058,undef. shark,sailing
2059,undef. shark,surfing
2060,undef. shark,sailing
2061,white shark,fishing
2062,tiger shark,sailing
2063,white shark,diving
2064,hammerhead shark,fishing
2065,undef. shark,sailing
2066,white shark,swimming
2067,copper shark,diving
2068,undef. shark,swimming
2069,undef. shark,swimming
2070,undef. shark,undef. act
2071,undef. shark,undef. act
2072,undef. shark,sailing
2073,undef. shark,diving
2074,undef. shark,surfing
2075,white shark,surfing
2076,undef. shark,surfing
2077,white shark,surfing
2078,white shark,diving
2079,undef. shark,surfing
2080,undef. shark,diving
2081,undef. shark,surfing
2082,undef. shark,undef. act
2083,undef. shark,swimming
2084,undef. shark,swimming
2085,undef. shark,swimming
2086,tiger shark,swimming
2087,undef. shark,fishing
2088,copper shark,undef. act
2089,nurse shark,swimming
2090,undef. shark,undef. act
2091,undef. shark,undef. act
2092,undef. shark,diving
2093,undef. shark,undef. act
2094,reef shark,swimming
2095,nurse shark,swimming
2096,copper shark,swimming
2097,tiger shark,swimming
2098,undef. shark,undef. act
2099,mako shark,undef. act
2100,tiger shark,surfing
2101,tiger shark,undef. act
2102,tiger shark,surfing
2103,undef. shark,undef. act
2104,white shark,diving
2105,undef. shark,undef. act
2106,undef. shark,undef. act
2107,undef. shark,undef. act
2108,undef. shark,sailing
2109,undef. shark,surfing
2110,undef. shark,surfing
2111,undef. shark,surfing
2112,undef. shark,surfing
2113,undef. shark,surfing
2114,white shark,surfing
2115,undef. shark,surfing
2116,undef. shark,swimming
2117,undef. shark,sailing
2118,bull shark,diving
2119,white shark,diving
2120,white shark,diving
2121,undef. shark,swimming
2122,undef. shark,surfing
2123,undef. shark,undef. act
2124,undef. shark,surfing
2125,undef. shark,surfing
2126,undef. shark,surfing
2127,undef. shark,swimming
2128,undef. shark,swimming
2129,undef. shark,surfing
2130,undef. shark,diving
2131,undef. shark,fishing
2132,undef. shark,swimming
2133,tiger shark,swimming
2134,undef. shark,surfing
2135,blacktip shark,undef. act
2136,undef. shark,sailing
2137,reef shark,fishing
2138,white shark,diving
2139,undef. shark,surfing
2140,undef. shark,surfing
2141,undef. shark,surfing
2142,undef. shark,sailing
2143,undef. shark,undef. act
2144,undef. shark,swimming
2145,undef. shark,sailing
2146,undef. shark,surfing
2147,undef. shark,surfing
2148,undef. shark,surfing
2149,blacktip shark,fishing
2150,undef. shark,undef. act
2151,white shark,diving
2152,white shark,surfing
2153,undef. shark,surfing
2154,undef. shark,surfing
2155,undef. shark,swimming
2156,undef. shark,swimming
2157,tiger shark,swimming
2158,tiger shark,swimming
2159,undef. shark,swimming
2160,undef. shark,diving
2161,bull shark,surfing
2162,undef. shark,undef. act
2163,undef. shark,undef. act
2164,undef. shark,diving
2165,undef. shark,undef. act
2166,undef. shark,undef. act
2167,undef. shark,diving
2168,white shark,diving
2169,undef. shark,surfing
2170,copper shark,surfing
2171,undef. shark,swimming
2172,nurse shark,swimming
2173,undef. shark,surfing
2174,tiger shark,swimming
2175,undef. shark,surfing
2176,undef. shark,diving
2177,undef. shark,diving
2178,undef. shark,diving
2179,undef. shark,undef. act
2180,white shark,sailing
2181,undef. shark,surfing
2182,undef. shark,surfing
2183,undef. shark,surfing
2184,undef. shark,undef. act
2185,undef. shark,undef. act
2186,white shark,sailing
2187,undef. shark,surfing
2188,nurse shark,fishing
2189,undef. shark,surfing
2190,undef. shark,surfing
2191,undef. shark,surfing
2192,undef. shark,surfing
2193,undef. shark,swimming
2194,undef. shark,surfing
2195,undef. shark,swimming
2196,white shark,surfing
2197,undef. shark,undef. act
2198,undef. shark,undef. act
2199,undef. shark,undef. act
2200,undef. shark,surfing
2201,undef. shark,swimming
2202,bull shark,surfing
2203,white shark,surfing
2204,white shark,surfing
2205,undef. shark,surfing
2206,undef. shark,surfing
2207,undef. shark,fishing
2208,undef. shark,surfing
2209,undef. shark,surfing
2210,undef. shark,fishing
2211,undef. shark,swimming
2212,undef. shark,swimming
2213,undef. shark,surfing
2214,undef. shark,undef. act
2215,bull shark,undef. act
2216,undef. shark,swimming
2217,undef. shark,diving
2218,white shark,fishing
2219,white shark,swimming
2220,white shark,swimming
2221,undef. shark,undef. act
2222,undef. shark,surfing
2223,undef. shark,fishing
2224,undef. shark,surfing
2225,undef. shark,fishing
2226,white shark,surfing
2227,undef. shark,fishing
2228,undef. shark,swimming
2229,tiger shark,surfing
2230,undef. shark,surfing
2231,white shark,fishing
2232,undef. shark,swimming
2233,undef. shark,swimming
2234,tiger shark,surfing
2235,undef. shark,surfing
2236,tiger shark,surfing
2237,undef. shark,swimming
2238,tiger shark,diving
2239,undef. shark,surfing
2240,undef. shark,undef. act
2241,white shark,surfing
2242,bull shark,swimming
2243,white shark,surfing
2244,tiger shark,surfing
2245,undef. shark,swimming
2246,white shark,fishing
2247,white shark,surfing
2248,undef. shark,surfing
2249,undef. shark,swimming
2250,undef. shark,undef. act
2251,undef. shark,swimming
2252,blacktip shark,fishing
2253,undef. shark,surfing
2254,undef. shark,surfing
2255,white shark,undef. act
2256,bull shark,undef. act
2257,white shark,fishing
2258,white shark,diving
2259,undef. shark,fishing
2260,white shark,fishing
2261,white shark,surfing
2262,undef. shark,surfing
2263,undef. shark,swimming
2264,undef. shark,sailing
2265,undef. shark,swimming
2266,undef. shark,diving
2267,tiger shark,surfing
2268,white shark,diving
2269,white shark,diving
2270,undef. shark,swimming
2271,undef. shark,swimming
2272,undef. shark,undef. act
2273,undef. shark,swimming
2274,undef. shark,fishing
2275,undef. shark,surfing
2276,undef. shark,sailing
2277,white shark,undef. act
2278,tiger shark,surfing
