,Shark_sp,Deadly_act,Genre
1130,undef. shark,surfing,M
1131,white shark,surfing,M
1132,white shark,fishing,M
1133,undef. shark,diving,M
1135,undef. shark,swimming,M
1136,undef. shark,diving,M
1137,undef. shark,swimming,F
1138,undef. shark,swimming,F
1139,bull shark,fishing,F
1140,undef. shark,surfing,M
1141,undef. shark,sailing,M
1142,undef. shark,undef. act,M
1143,undef. shark,undef. act,M
1144,undef. shark,swimming,F
1145,undef. shark,surfing,M
1146,tiger shark,surfing,M
1147,undef. shark,surfing,F
1148,undef. shark,swimming,F
1149,undef. shark,surfing,M
1150,undef. shark,swimming,F
1152,undef. shark,fishing,M
1153,undef. shark,swimming,F
1154,undef. shark,surfing,M
1155,undef. shark,surfing,F
1156,white shark,diving,M
1157,undef. shark,swimming,M
1158,tiger shark,diving,F
1159,undef. shark,swimming,M
1160,undef. shark,undef. act,M
1161,undef. shark,undef. act,F
1162,undef. shark,swimming,F
1163,undef. shark,sailing,M
1164,undef. shark,surfing,M
1165,bull shark,fishing,M
1166,tiger shark,surfing,M
1167,undef. shark,surfing,M
1168,undef. shark,surfing,M
1169,undef. shark,undef. act,M
1170,undef. shark,undef. act,M
1171,undef. shark,surfing,M
1172,undef. shark,surfing,F
1173,undef. shark,fishing,M
1174,undef. shark,swimming,F
1175,undef. shark,surfing,M
1176,tiger shark,fishing,M
1177,undef. shark,swimming,M
1178,undef. shark,sailing,M
1179,undef. shark,fishing,M
1180,tiger shark,fishing,M
1181,undef. shark,undef. act,M
1182,white shark,diving,M
1183,undef. shark,swimming,M
1184,tiger shark,swimming,M
1185,undef. shark,surfing,M
1186,undef. shark,surfing,M
1187,tiger shark,surfing,M
1188,undef. shark,surfing,M
1189,undef. shark,surfing,M
1190,white shark,surfing,M
1192,white shark,sailing,M
1193,undef. shark,undef. act,M
1194,undef. shark,swimming,M
1195,bull shark,surfing,M
1196,white shark,surfing,M
1197,undef. shark,fishing,M
1198,undef. shark,surfing,M
1199,undef. shark,surfing,M
1200,undef. shark,surfing,M
1201,undef. shark,diving,F
1202,undef. shark,undef. act,F
1203,undef. shark,fishing,M
1204,undef. shark,surfing,M
1206,undef. shark,surfing,M
1207,undef. shark,swimming,M
1208,undef. shark,surfing,M
1209,undef. shark,diving,M
1210,undef. shark,undef. act,M
1211,undef. shark,sailing,M
1212,undef. shark,swimming,M
1213,white shark,surfing,M
1214,undef. shark,surfing,M
1216,undef. shark,sailing,M
1217,undef. shark,undef. act,M
1218,undef. shark,fishing,M
1219,undef. shark,undef. act,M
1220,undef. shark,surfing,M
1221,undef. shark,surfing,M
1222,white shark,swimming,M
1223,undef. shark,swimming,F
1224,bull shark,fishing,M
1225,undef. shark,undef. act,M
1226,white shark,surfing,M
1228,undef. shark,surfing,M
1229,white shark,surfing,M
1230,undef. shark,surfing,M
1231,bull shark,fishing,M
1232,undef. shark,undef. act,M
1233,undef. shark,sailing,M
1234,undef. shark,swimming,F
1235,undef. shark,swimming,F
1236,tiger shark,undef. act,M
1237,undef. shark,swimming,M
1238,undef. shark,sailing,M
1239,bull shark,sailing,F
1240,undef. shark,swimming,M
1243,undef. shark,sailing,F
1244,undef. shark,fishing,M
1245,undef. shark,fishing,M
1246,undef. shark,surfing,F
1247,undef. shark,sailing,M
1248,undef. shark,diving,M
1249,undef. shark,surfing,M
1250,undef. shark,surfing,F
1251,white shark,surfing,M
1252,tiger shark,fishing,M
1253,tiger shark,undef. act,F
1254,undef. shark,surfing,M
1256,undef. shark,surfing,M
1257,tiger shark,diving,F
1258,undef. shark,undef. act,M
1259,undef. shark,swimming,F
1260,undef. shark,diving,M
1261,undef. shark,undef. act,M
1262,undef. shark,surfing,M
1263,undef. shark,sailing,F
1264,bull shark,fishing,M
1267,tiger shark,swimming,M
1268,undef. shark,swimming,M
1269,undef. shark,fishing,M
1270,tiger shark,surfing,F
1271,undef. shark,swimming,M
1272,tiger shark,surfing,M
1274,undef. shark,sailing,F
1275,undef. shark,diving,M
1276,undef. shark,swimming,M
1277,undef. shark,swimming,M
1278,white shark,fishing,M
1280,tiger shark,swimming,F
1281,undef. shark,surfing,M
1282,undef. shark,undef. act,M
1283,undef. shark,fishing,M
1284,undef. shark,undef. act,F
1285,undef. shark,surfing,M
1286,white shark,diving,M
1287,undef. shark,diving,M
1288,bull shark,swimming,F
1289,undef. shark,surfing,M
1290,undef. shark,diving,M
1291,white shark,surfing,M
1292,tiger shark,swimming,M
1293,undef. shark,undef. act,M
1295,white shark,fishing,M
1296,undef. shark,surfing,M
1297,undef. shark,surfing,M
1298,white shark,fishing,M
1299,undef. shark,surfing,M
1300,undef. shark,surfing,M
1301,undef. shark,fishing,M
1302,undef. shark,surfing,M
1303,undef. shark,surfing,M
1304,white shark,undef. act,M
1306,undef. shark,surfing,M
1307,undef. shark,surfing,M
1308,white shark,surfing,M
1309,undef. shark,swimming,M
1310,undef. shark,sailing,M
1311,undef. shark,sailing,M
1312,white shark,surfing,M
1313,white shark,surfing,F
1314,undef. shark,swimming,M
1315,tiger shark,surfing,M
1317,undef. shark,sailing,M
1318,undef. shark,diving,M
1319,white shark,surfing,M
1320,tiger shark,surfing,M
1321,white shark,surfing,M
1323,undef. shark,surfing,M
1324,undef. shark,surfing,F
1325,undef. shark,surfing,M
1326,undef. shark,sailing,M
1327,bull shark,swimming,F
1328,white shark,surfing,M
1329,undef. shark,sailing,M
1330,undef. shark,undef. act,M
1331,white shark,diving,M
1332,white shark,surfing,M
1334,undef. shark,swimming,M
1335,undef. shark,sailing,M
1336,undef. shark,undef. act,M
1337,undef. shark,surfing,M
1338,undef. shark,swimming,M
1339,bull shark,fishing,M
1340,undef. shark,swimming,F
1341,undef. shark,surfing,M
1342,undef. shark,surfing,M
1343,undef. shark,swimming,M
1344,undef. shark,diving,M
1345,undef. shark,undef. act,M
1346,undef. shark,swimming,M
1347,undef. shark,undef. act,F
1348,undef. shark,sailing,M
1349,bull shark,fishing,M
1350,bull shark,swimming,F
1351,undef. shark,swimming,F
1352,undef. shark,surfing,M
1353,undef. shark,swimming,M
1354,undef. shark,swimming,M
1355,white shark,diving,F
1356,undef. shark,sailing,F
1357,white shark,surfing,M
1358,white shark,fishing,M
1359,undef. shark,swimming,M
1360,undef. shark,swimming,M
1361,undef. shark,undef. act,F
1364,tiger shark,surfing,F
1365,undef. shark,fishing,M
1366,undef. shark,undef. act,M
1367,tiger shark,surfing,M
1369,undef. shark,undef. act,M
1373,undef. shark,surfing,M
1374,undef. shark,surfing,M
1376,undef. shark,diving,F
1377,undef. shark,surfing,M
1378,undef. shark,surfing,M
1379,undef. shark,surfing,M
1380,white shark,diving,M
1382,tiger shark,undef. act,M
1384,undef. shark,diving,M
1385,bull shark,swimming,M
1387,tiger shark,surfing,M
1389,undef. shark,surfing,M
1390,undef. shark,swimming,M
1391,undef. shark,fishing,M
1393,white shark,fishing,M
1394,undef. shark,undef. act,F
1395,white shark,undef. act,M
1396,bull shark,fishing,M
1399,white shark,swimming,F
1400,white shark,surfing,F
1401,undef. shark,diving,M
1402,undef. shark,diving,M
1403,bull shark,diving,M
1404,white shark,undef. act,M
1405,white shark,undef. act,M
1407,white shark,surfing,M
1408,tiger shark,fishing,M
1410,tiger shark,sailing,M
1411,undef. shark,surfing,M
1412,undef. shark,surfing,M
1413,tiger shark,fishing,M
1414,white shark,surfing,M
1415,undef. shark,fishing,M
1416,undef. shark,swimming,M
1417,undef. shark,undef. act,F
1418,undef. shark,sailing,F
1419,tiger shark,swimming,M
1420,white shark,surfing,M
1421,white shark,diving,M
1422,undef. shark,swimming,M
1423,undef. shark,fishing,M
1424,white shark,fishing,M
1425,undef. shark,surfing,F
1426,white shark,diving,M
1427,undef. shark,surfing,F
1428,undef. shark,swimming,F
1429,undef. shark,swimming,F
1430,bull shark,swimming,M
1431,white shark,fishing,M
1433,undef. shark,surfing,M
1434,undef. shark,diving,F
1435,undef. shark,swimming,M
1436,white shark,surfing,M
1437,undef. shark,undef. act,M
1438,undef. shark,diving,F
1440,undef. shark,swimming,M
1441,white shark,swimming,M
1442,undef. shark,swimming,M
1443,bull shark,swimming,M
1444,undef. shark,surfing,M
1445,undef. shark,sailing,M
1446,undef. shark,swimming,M
1447,undef. shark,undef. act,F
1448,undef. shark,swimming,F
1451,undef. shark,swimming,M
1452,undef. shark,diving,M
1453,white shark,fishing,F
1454,undef. shark,fishing,M
1455,undef. shark,fishing,M
1456,tiger shark,surfing,M
1457,white shark,surfing,M
1458,undef. shark,surfing,F
1459,undef. shark,undef. act,M
1460,bull shark,surfing,M
1461,bull shark,sailing,M
1462,bull shark,surfing,M
1463,undef. shark,surfing,M
1464,undef. shark,swimming,M
1465,undef. shark,diving,F
1467,tiger shark,surfing,M
1469,undef. shark,swimming,M
1470,undef. shark,surfing,M
1471,undef. shark,swimming,M
1472,undef. shark,diving,M
1473,undef. shark,diving,M
1474,undef. shark,diving,M
1475,white shark,diving,M
1477,undef. shark,sailing,M
1478,bull shark,swimming,M
1479,bull shark,fishing,M
1483,undef. shark,surfing,M
1484,undef. shark,undef. act,M
1485,undef. shark,surfing,M
1487,undef. shark,swimming,M
1488,undef. shark,swimming,M
1489,undef. shark,swimming,M
1490,undef. shark,surfing,M
1491,undef. shark,swimming,M
1492,undef. shark,swimming,M
1493,tiger shark,fishing,M
1494,undef. shark,surfing,F
1495,tiger shark,swimming,M
1496,undef. shark,surfing,M
1498,white shark,surfing,M
1499,undef. shark,sailing,M
1501,undef. shark,surfing,M
1503,tiger shark,surfing,F
1504,undef. shark,surfing,M
1505,undef. shark,diving,M
1506,undef. shark,surfing,M
1507,undef. shark,swimming,M
1508,undef. shark,surfing,F
1509,undef. shark,surfing,M
1510,undef. shark,surfing,M
1511,undef. shark,surfing,M
1512,undef. shark,swimming,F
1513,undef. shark,swimming,M
1514,undef. shark,surfing,M
1515,undef. shark,surfing,M
1516,undef. shark,surfing,M
1517,undef. shark,surfing,M
1518,undef. shark,surfing,M
1519,undef. shark,fishing,M
1520,undef. shark,swimming,F
1521,undef. shark,sailing,M
1522,undef. shark,sailing,M
1523,white shark,sailing,M
1524,undef. shark,fishing,M
1525,bull shark,fishing,M
1526,white shark,swimming,F
1527,undef. shark,swimming,M
1528,white shark,surfing,M
1529,undef. shark,surfing,M
1530,undef. shark,surfing,M
1531,undef. shark,swimming,F
1532,undef. shark,fishing,M
1533,undef. shark,sailing,M
1534,undef. shark,surfing,M
1535,bull shark,fishing,M
1537,undef. shark,fishing,M
1539,undef. shark,surfing,M
1540,undef. shark,surfing,M
1541,undef. shark,undef. act,M
1542,undef. shark,sailing,F
1543,undef. shark,swimming,M
1544,undef. shark,swimming,M
1545,undef. shark,surfing,M
1546,undef. shark,surfing,M
1547,undef. shark,swimming,F
1548,undef. shark,surfing,M
1549,undef. shark,swimming,M
1551,undef. shark,surfing,M
1552,undef. shark,sailing,F
1553,white shark,undef. act,M
1554,undef. shark,undef. act,M
1555,undef. shark,swimming,M
1556,bull shark,surfing,M
1557,undef. shark,swimming,M
1558,undef. shark,surfing,M
1559,undef. shark,surfing,M
1560,undef. shark,surfing,M
1561,undef. shark,surfing,M
1562,undef. shark,surfing,M
1563,undef. shark,undef. act,M
1564,undef. shark,surfing,M
1565,undef. shark,swimming,M
1567,undef. shark,surfing,M
1568,undef. shark,surfing,M
1569,undef. shark,undef. act,F
1570,white shark,diving,M
1571,undef. shark,swimming,M
1572,undef. shark,swimming,M
1574,bull shark,swimming,M
1575,undef. shark,undef. act,M
1576,bull shark,surfing,M
1579,white shark,diving,M
1580,undef. shark,diving,M
1581,undef. shark,swimming,M
1582,bull shark,swimming,M
1583,undef. shark,surfing,M
1585,white shark,sailing,M
1586,undef. shark,swimming,F
1588,undef. shark,surfing,M
1589,undef. shark,sailing,M
1590,undef. shark,fishing,M
1591,undef. shark,swimming,F
1592,bull shark,swimming,M
1593,undef. shark,surfing,M
1594,undef. shark,surfing,M
1595,undef. shark,surfing,M
1596,undef. shark,surfing,M
1597,undef. shark,surfing,M
1598,undef. shark,surfing,M
1601,tiger shark,swimming,M
1602,undef. shark,sailing,M
1603,undef. shark,surfing,M
1604,tiger shark,swimming,M
1605,undef. shark,sailing,M
1606,white shark,surfing,M
1607,undef. shark,sailing,M
1608,undef. shark,swimming,M
1609,tiger shark,surfing,M
1610,undef. shark,swimming,F
1611,undef. shark,surfing,M
1613,undef. shark,sailing,M
1615,undef. shark,sailing,M
1616,undef. shark,surfing,M
1617,bull shark,swimming,F
1618,undef. shark,surfing,M
1620,tiger shark,surfing,M
1621,undef. shark,sailing,F
1622,undef. shark,surfing,M
1623,undef. shark,swimming,F
1624,undef. shark,undef. act,M
1625,undef. shark,undef. act,M
1626,undef. shark,swimming,M
1627,tiger shark,surfing,M
1628,undef. shark,surfing,M
1629,undef. shark,surfing,M
1630,undef. shark,swimming,M
1632,white shark,surfing,M
1633,undef. shark,sailing,M
1635,undef. shark,surfing,M
1636,bull shark,surfing,M
1637,undef. shark,fishing,M
1638,undef. shark,fishing,M
1639,undef. shark,surfing,M
1640,undef. shark,fishing,M
1641,white shark,diving,M
1642,undef. shark,fishing,M
1643,undef. shark,surfing,M
1644,undef. shark,surfing,M
1645,undef. shark,swimming,M
1646,bull shark,sailing,M
1647,undef. shark,swimming,M
1648,undef. shark,swimming,M
1649,tiger shark,sailing,M
1650,undef. shark,swimming,F
1651,undef. shark,swimming,M
1652,undef. shark,swimming,M
1654,undef. shark,surfing,M
1655,undef. shark,fishing,M
1656,undef. shark,fishing,M
1658,undef. shark,undef. act,M
1659,undef. shark,surfing,M
1660,tiger shark,surfing,M
1661,undef. shark,swimming,M
1662,bull shark,fishing,M
1663,undef. shark,swimming,F
1664,undef. shark,surfing,M
1665,tiger shark,diving,M
1666,undef. shark,surfing,M
1668,undef. shark,surfing,M
1669,undef. shark,surfing,M
1672,tiger shark,surfing,M
1673,white shark,undef. act,M
1674,undef. shark,surfing,M
1675,undef. shark,surfing,M
1676,undef. shark,diving,M
1677,undef. shark,sailing,M
1678,undef. shark,surfing,M
1680,undef. shark,fishing,M
1681,undef. shark,sailing,M
1682,undef. shark,swimming,F
1683,white shark,swimming,M
1684,white shark,swimming,F
1685,undef. shark,swimming,M
1686,bull shark,swimming,M
1687,bull shark,fishing,M
1688,undef. shark,sailing,F
1689,undef. shark,swimming,M
1690,undef. shark,sailing,M
1691,undef. shark,sailing,M
1692,undef. shark,surfing,M
1693,undef. shark,surfing,M
1694,undef. shark,surfing,M
1695,undef. shark,surfing,F
1696,undef. shark,surfing,F
1697,undef. shark,surfing,M
1698,undef. shark,surfing,M
1700,bull shark,fishing,M
1701,undef. shark,undef. act,M
1702,undef. shark,undef. act,F
1703,undef. shark,swimming,M
1704,undef. shark,fishing,M
1705,undef. shark,undef. act,F
1706,undef. shark,undef. act,M
1709,undef. shark,surfing,M
1710,undef. shark,sailing,M
1711,undef. shark,surfing,M
1712,bull shark,swimming,M
1713,undef. shark,undef. act,M
1714,undef. shark,sailing,M
1715,undef. shark,swimming,M
1716,white shark,fishing,M
1717,undef. shark,undef. act,M
1718,undef. shark,swimming,F
1719,undef. shark,undef. act,M
1720,undef. shark,swimming,M
1721,undef. shark,swimming,M
1722,undef. shark,fishing,M
1723,undef. shark,undef. act,M
1724,white shark,surfing,M
1725,undef. shark,surfing,M
1726,undef. shark,surfing,M
1727,undef. shark,fishing,M
1728,undef. shark,sailing,M
1729,undef. shark,surfing,M
1730,undef. shark,surfing,M
1731,undef. shark,undef. act,M
1732,undef. shark,surfing,M
1733,undef. shark,surfing,M
1734,undef. shark,sailing,M
1735,undef. shark,surfing,M
1736,undef. shark,surfing,M
1737,undef. shark,surfing,M
1739,undef. shark,surfing,M
1740,white shark,surfing,M
1741,undef. shark,diving,M
1742,undef. shark,sailing,M
1743,undef. shark,undef. act,F
1745,undef. shark,sailing,M
1746,undef. shark,surfing,M
1747,undef. shark,swimming,M
1748,undef. shark,swimming,M
1749,tiger shark,sailing,M
1750,white shark,fishing,M
1751,undef. shark,undef. act,F
1753,undef. shark,surfing,M
1754,undef. shark,swimming,F
1755,white shark,fishing,M
1756,undef. shark,surfing,M
1757,white shark,surfing,M
1758,undef. shark,diving,M
1759,undef. shark,swimming,M
1760,white shark,fishing,M
1761,undef. shark,diving,M
1763,undef. shark,surfing,F
1764,tiger shark,diving,M
1765,undef. shark,undef. act,M
1766,undef. shark,swimming,M
1767,bull shark,sailing,F
1768,white shark,swimming,M
1769,white shark,swimming,M
1770,white shark,surfing,M
1771,white shark,fishing,M
1772,undef. shark,surfing,M
1773,tiger shark,swimming,F
1774,undef. shark,swimming,M
1775,undef. shark,surfing,M
1777,undef. shark,surfing,M
1778,undef. shark,surfing,M
1779,white shark,surfing,M
1780,white shark,surfing,M
1781,white shark,surfing,M
1782,undef. shark,undef. act,M
1783,white shark,surfing,M
1784,undef. shark,undef. act,M
1785,undef. shark,sailing,M
1786,undef. shark,surfing,F
1787,undef. shark,swimming,M
1788,undef. shark,swimming,M
1789,white shark,diving,M
1790,bull shark,swimming,M
1791,undef. shark,swimming,M
1792,tiger shark,surfing,M
1793,bull shark,swimming,M
1794,undef. shark,swimming,M
1795,bull shark,undef. act,M
1796,undef. shark,undef. act,M
1797,undef. shark,swimming,M
1798,tiger shark,surfing,M
1799,undef. shark,surfing,M
1801,undef. shark,swimming,M
1802,undef. shark,swimming,M
1803,bull shark,swimming,M
1804,undef. shark,undef. act,M
1806,undef. shark,surfing,M
1807,undef. shark,surfing,M
1808,undef. shark,surfing,M
1809,undef. shark,surfing,M
1810,undef. shark,surfing,M
1812,undef. shark,swimming,M
1813,undef. shark,swimming,M
1814,undef. shark,undef. act,M
1815,tiger shark,surfing,F
1816,undef. shark,swimming,F
1818,undef. shark,swimming,F
1819,undef. shark,sailing,F
1820,bull shark,swimming,M
1821,undef. shark,undef. act,M
1823,undef. shark,sailing,M
1824,bull shark,sailing,F
1826,bull shark,swimming,M
1827,bull shark,swimming,M
1828,undef. shark,diving,M
1829,bull shark,swimming,M
1830,tiger shark,undef. act,F
1831,undef. shark,undef. act,M
1832,undef. shark,sailing,M
1833,undef. shark,diving,M
1834,undef. shark,sailing,M
1835,undef. shark,sailing,M
1836,undef. shark,fishing,M
1837,undef. shark,swimming,M
1838,undef. shark,sailing,F
1839,undef. shark,surfing,M
1840,tiger shark,fishing,M
1841,tiger shark,surfing,M
1842,undef. shark,surfing,M
1843,undef. shark,surfing,M
1844,undef. shark,surfing,M
1845,undef. shark,swimming,M
1847,undef. shark,undef. act,M
1848,white shark,surfing,M
1850,undef. shark,surfing,M
1851,undef. shark,surfing,M
1852,undef. shark,undef. act,M
1853,undef. shark,diving,M
1855,undef. shark,surfing,M
1856,undef. shark,swimming,F
1857,undef. shark,swimming,F
1858,tiger shark,surfing,M
1859,undef. shark,diving,M
1861,undef. shark,surfing,M
1862,undef. shark,surfing,M
1863,tiger shark,swimming,F
1864,white shark,surfing,M
1865,white shark,surfing,M
1866,undef. shark,fishing,M
1869,undef. shark,sailing,M
1870,undef. shark,surfing,M
1871,undef. shark,surfing,M
1872,tiger shark,surfing,M
1873,undef. shark,swimming,M
1874,white shark,fishing,M
1875,undef. shark,swimming,F
1876,undef. shark,swimming,F
1877,undef. shark,surfing,M
1878,undef. shark,swimming,M
1879,undef. shark,swimming,M
1880,undef. shark,surfing,M
1881,undef. shark,surfing,M
1882,undef. shark,fishing,M
1883,undef. shark,surfing,M
1884,undef. shark,undef. act,M
1885,undef. shark,surfing,M
1886,bull shark,fishing,M
1887,white shark,surfing,M
1888,bull shark,swimming,M
1889,tiger shark,surfing,M
1890,white shark,sailing,M
1891,undef. shark,undef. act,M
1893,white shark,surfing,M
1894,undef. shark,undef. act,M
1895,undef. shark,surfing,M
1896,undef. shark,swimming,M
1897,undef. shark,swimming,M
1898,white shark,surfing,M
1899,tiger shark,surfing,M
1901,bull shark,swimming,M
1902,undef. shark,surfing,M
1903,undef. shark,fishing,M
1904,undef. shark,undef. act,M
1905,undef. shark,swimming,F
1906,undef. shark,fishing,M
1908,undef. shark,surfing,M
1909,undef. shark,swimming,F
1910,undef. shark,undef. act,M
1911,tiger shark,surfing,M
1912,undef. shark,surfing,M
1913,bull shark,fishing,M
1914,white shark,surfing,M
1915,undef. shark,undef. act,F
1916,undef. shark,fishing,F
1917,bull shark,fishing,M
1918,white shark,fishing,M
1919,undef. shark,surfing,M
1920,undef. shark,surfing,M
1921,undef. shark,sailing,F
1922,white shark,surfing,M
1923,undef. shark,swimming,M
1924,undef. shark,surfing,F
1925,tiger shark,swimming,M
1926,undef. shark,surfing,M
1927,undef. shark,sailing,M
1928,white shark,surfing,M
1929,undef. shark,fishing,M
1930,white shark,surfing,M
1931,undef. shark,swimming,F
1932,undef. shark,surfing,M
1933,undef. shark,surfing,M
1934,undef. shark,surfing,M
1935,undef. shark,diving,M
1936,undef. shark,undef. act,M
1937,undef. shark,surfing,M
1938,undef. shark,surfing,M
1939,undef. shark,fishing,M
1940,undef. shark,surfing,M
1941,undef. shark,fishing,M
1942,undef. shark,surfing,M
1943,undef. shark,fishing,M
1944,white shark,sailing,M
1945,undef. shark,fishing,M
1947,undef. shark,sailing,M
1949,white shark,surfing,M
1950,white shark,fishing,M
1951,undef. shark,surfing,M
1952,undef. shark,surfing,M
1954,undef. shark,surfing,M
1956,white shark,diving,M
1957,white shark,sailing,M
1958,undef. shark,surfing,M
1959,undef. shark,surfing,M
1960,undef. shark,surfing,M
1961,white shark,sailing,M
1962,undef. shark,sailing,M
1963,undef. shark,surfing,M
1964,undef. shark,swimming,F
1965,undef. shark,swimming,M
1966,white shark,sailing,M
1967,undef. shark,undef. act,F
1968,white shark,surfing,M
1970,undef. shark,swimming,M
1971,undef. shark,undef. act,M
1972,undef. shark,swimming,M
1973,white shark,diving,M
1974,undef. shark,swimming,M
1975,undef. shark,swimming,M
1976,undef. shark,fishing,M
1977,undef. shark,surfing,M
1978,undef. shark,swimming,M
1979,undef. shark,surfing,M
1980,undef. shark,surfing,M
1981,undef. shark,surfing,M
1982,undef. shark,surfing,M
1983,undef. shark,diving,M
1985,white shark,fishing,M
1986,undef. shark,surfing,M
1987,undef. shark,undef. act,F
1988,undef. shark,swimming,M
1989,white shark,diving,M
1990,undef. shark,swimming,M
1991,undef. shark,undef. act,M
1992,white shark,surfing,M
1993,tiger shark,sailing,M
1995,undef. shark,surfing,M
1996,undef. shark,fishing,M
1997,undef. shark,swimming,F
1998,undef. shark,swimming,M
1999,undef. shark,surfing,M
2001,undef. shark,surfing,M
2002,undef. shark,surfing,M
2003,undef. shark,sailing,M
2004,white shark,surfing,M
2005,undef. shark,diving,M
2006,tiger shark,diving,M
2007,undef. shark,sailing,F
2008,undef. shark,fishing,M
2010,undef. shark,sailing,M
2011,undef. shark,surfing,M
2012,undef. shark,swimming,F
2013,undef. shark,fishing,M
2014,undef. shark,surfing,M
2015,undef. shark,swimming,M
2016,undef. shark,surfing,M
2017,white shark,surfing,M
2018,undef. shark,surfing,M
2020,white shark,fishing,M
2021,undef. shark,surfing,M
2022,undef. shark,fishing,M
2023,tiger shark,diving,F
2024,undef. shark,surfing,M
2025,undef. shark,swimming,M
2026,undef. shark,surfing,M
2027,undef. shark,fishing,M
2028,undef. shark,surfing,M
2029,undef. shark,surfing,M
2031,undef. shark,fishing,M
2032,white shark,surfing,M
2033,undef. shark,swimming,F
2034,tiger shark,diving,M
2035,undef. shark,undef. act,M
2036,undef. shark,undef. act,M
2037,undef. shark,surfing,F
2038,undef. shark,diving,M
2039,tiger shark,surfing,M
2040,bull shark,fishing,M
2041,white shark,undef. act,M
2042,undef. shark,surfing,M
2043,white shark,surfing,M
2044,undef. shark,fishing,M
2045,undef. shark,swimming,F
2046,white shark,surfing,M
2047,undef. shark,surfing,M
2048,undef. shark,surfing,M
2049,undef. shark,surfing,M
2050,undef. shark,swimming,M
2051,white shark,surfing,M
2052,undef. shark,surfing,M
2053,white shark,surfing,M
2054,undef. shark,undef. act,M
2055,undef. shark,swimming,M
2056,white shark,diving,M
2057,undef. shark,surfing,M
2058,undef. shark,sailing,M
2059,undef. shark,surfing,M
2060,undef. shark,sailing,F
2061,white shark,fishing,M
2062,tiger shark,sailing,M
2063,white shark,diving,M
2065,undef. shark,sailing,F
2066,white shark,swimming,M
2068,undef. shark,swimming,M
2069,undef. shark,swimming,M
2070,undef. shark,undef. act,M
2071,undef. shark,undef. act,M
2072,undef. shark,sailing,F
2073,undef. shark,diving,M
2074,undef. shark,surfing,F
2075,white shark,surfing,M
2076,undef. shark,surfing,M
2077,white shark,surfing,M
2078,white shark,diving,M
2079,undef. shark,surfing,M
2080,undef. shark,diving,M
2081,undef. shark,surfing,M
2082,undef. shark,undef. act,M
2083,undef. shark,swimming,M
2084,undef. shark,swimming,F
2085,undef. shark,swimming,M
2086,tiger shark,swimming,F
2087,undef. shark,fishing,M
2090,undef. shark,undef. act,M
2091,undef. shark,undef. act,M
2092,undef. shark,diving,M
2093,undef. shark,undef. act,M
2097,tiger shark,swimming,M
2098,undef. shark,undef. act,M
2100,tiger shark,surfing,M
2101,tiger shark,undef. act,M
2102,tiger shark,surfing,M
2103,undef. shark,undef. act,M
2104,white shark,diving,M
2105,undef. shark,undef. act,M
2106,undef. shark,undef. act,M
2107,undef. shark,undef. act,M
2108,undef. shark,sailing,M
2109,undef. shark,surfing,M
2110,undef. shark,surfing,F
2111,undef. shark,surfing,M
2112,undef. shark,surfing,M
2113,undef. shark,surfing,M
2114,white shark,surfing,M
2115,undef. shark,surfing,M
2116,undef. shark,swimming,F
2117,undef. shark,sailing,M
2118,bull shark,diving,M
2119,white shark,diving,M
2120,white shark,diving,M
2121,undef. shark,swimming,M
2122,undef. shark,surfing,M
2123,undef. shark,undef. act,M
2124,undef. shark,surfing,M
2125,undef. shark,surfing,M
2126,undef. shark,surfing,M
2127,undef. shark,swimming,M
2128,undef. shark,swimming,M
2129,undef. shark,surfing,M
2130,undef. shark,diving,M
2131,undef. shark,fishing,M
2132,undef. shark,swimming,M
2133,tiger shark,swimming,M
2134,undef. shark,surfing,M
2136,undef. shark,sailing,M
2138,white shark,diving,M
2139,undef. shark,surfing,M
2140,undef. shark,surfing,M
2141,undef. shark,surfing,M
2142,undef. shark,sailing,M
2143,undef. shark,undef. act,M
2144,undef. shark,swimming,F
2145,undef. shark,sailing,M
2146,undef. shark,surfing,M
2147,undef. shark,surfing,M
2148,undef. shark,surfing,M
2150,undef. shark,undef. act,M
2151,white shark,diving,M
2152,white shark,surfing,F
2153,undef. shark,surfing,M
2154,undef. shark,surfing,M
2155,undef. shark,swimming,M
2156,undef. shark,swimming,F
2157,tiger shark,swimming,M
2158,tiger shark,swimming,F
2159,undef. shark,swimming,M
2160,undef. shark,diving,M
2161,bull shark,surfing,M
2162,undef. shark,undef. act,M
2163,undef. shark,undef. act,M
2164,undef. shark,diving,F
2165,undef. shark,undef. act,M
2166,undef. shark,undef. act,M
2167,undef. shark,diving,M
2168,white shark,diving,M
2169,undef. shark,surfing,F
2171,undef. shark,swimming,F
2173,undef. shark,surfing,M
2174,tiger shark,swimming,M
2175,undef. shark,surfing,M
2176,undef. shark,diving,M
2177,undef. shark,diving,M
2178,undef. shark,diving,M
2179,undef. shark,undef. act,M
2180,white shark,sailing,M
2181,undef. shark,surfing,F
2182,undef. shark,surfing,M
2183,undef. shark,surfing,M
2184,undef. shark,undef. act,M
2185,undef. shark,undef. act,M
2186,white shark,sailing,M
2187,undef. shark,surfing,M
2189,undef. shark,surfing,F
2190,undef. shark,surfing,M
2191,undef. shark,surfing,M
2192,undef. shark,surfing,M
2193,undef. shark,swimming,F
2194,undef. shark,surfing,M
2195,undef. shark,swimming,F
2196,white shark,surfing,M
2197,undef. shark,undef. act,M
2198,undef. shark,undef. act,F
