,Shark_sp,Deadly_act,Genre
263,undef. shark,surfing,M
264,undef. shark,surfing,F
265,bull shark,sailing,F
266,undef. shark,surfing,F
267,undef. shark,fishing,F
268,undef. shark,surfing,M
271,white shark,surfing,M
272,white shark,surfing,M
273,undef. shark,surfing,M
274,white shark,surfing,M
275,undef. shark,surfing,M
277,undef. shark,surfing,M
278,undef. shark,swimming,M
279,bull shark,fishing,M
280,white shark,surfing,F
281,undef. shark,fishing,M
282,undef. shark,surfing,M
283,undef. shark,surfing,F
284,undef. shark,surfing,M
285,undef. shark,undef. act,M
286,undef. shark,fishing,M
287,undef. shark,swimming,F
288,undef. shark,surfing,M
289,undef. shark,sailing,F
290,bull shark,fishing,M
291,undef. shark,sailing,M
293,bull shark,sailing,M
294,undef. shark,undef. act,M
295,bull shark,fishing,M
296,undef. shark,swimming,F
297,bull shark,swimming,M
298,undef. shark,sailing,M
299,undef. shark,swimming,F
300,undef. shark,surfing,M
301,undef. shark,sailing,M
302,white shark,surfing,M
303,undef. shark,undef. act,M
304,tiger shark,swimming,M
305,undef. shark,surfing,M
306,undef. shark,sailing,M
307,undef. shark,swimming,F
308,undef. shark,swimming,M
309,undef. shark,swimming,M
310,undef. shark,diving,M
311,undef. shark,surfing,M
312,undef. shark,surfing,M
313,white shark,swimming,M
314,undef. shark,surfing,M
315,undef. shark,surfing,M
318,undef. shark,surfing,M
319,undef. shark,sailing,M
320,undef. shark,undef. act,M
321,undef. shark,fishing,M
322,undef. shark,sailing,M
324,undef. shark,surfing,M
325,undef. shark,undef. act,F
326,bull shark,swimming,F
327,undef. shark,surfing,M
329,bull shark,undef. act,F
330,undef. shark,diving,M
332,undef. shark,diving,M
333,undef. shark,sailing,F
334,white shark,surfing,M
335,undef. shark,swimming,F
336,undef. shark,surfing,M
337,undef. shark,diving,M
338,undef. shark,swimming,F
339,undef. shark,surfing,M
341,undef. shark,swimming,M
342,undef. shark,swimming,M
343,white shark,undef. act,M
345,undef. shark,surfing,M
346,undef. shark,surfing,M
347,white shark,swimming,F
348,undef. shark,diving,M
349,undef. shark,swimming,M
350,undef. shark,surfing,M
351,undef. shark,surfing,M
352,undef. shark,surfing,M
353,undef. shark,surfing,M
354,undef. shark,diving,M
355,undef. shark,undef. act,F
356,undef. shark,swimming,M
357,undef. shark,surfing,M
359,undef. shark,sailing,M
360,undef. shark,fishing,M
361,undef. shark,fishing,M
362,undef. shark,surfing,M
363,undef. shark,fishing,M
364,undef. shark,fishing,M
365,undef. shark,undef. act,M
366,white shark,diving,M
367,bull shark,diving,M
368,white shark,surfing,M
369,undef. shark,swimming,M
370,tiger shark,sailing,M
371,undef. shark,surfing,M
372,undef. shark,surfing,M
373,undef. shark,surfing,M
374,tiger shark,sailing,M
375,undef. shark,diving,F
376,white shark,surfing,M
377,white shark,surfing,M
378,white shark,surfing,M
379,undef. shark,fishing,M
380,undef. shark,sailing,M
381,undef. shark,surfing,M
382,tiger shark,undef. act,M
384,bull shark,sailing,M
385,white shark,diving,M
386,undef. shark,surfing,M
388,tiger shark,surfing,M
390,white shark,swimming,M
391,white shark,diving,M
392,white shark,surfing,M
393,bull shark,swimming,M
394,undef. shark,surfing,M
395,undef. shark,diving,M
396,undef. shark,sailing,M
397,undef. shark,swimming,M
398,undef. shark,surfing,M
399,bull shark,swimming,M
400,undef. shark,surfing,F
401,undef. shark,undef. act,F
402,undef. shark,surfing,M
403,undef. shark,sailing,M
404,undef. shark,swimming,M
406,undef. shark,undef. act,M
407,undef. shark,undef. act,M
409,undef. shark,swimming,M
410,undef. shark,swimming,F
412,undef. shark,sailing,F
413,undef. shark,undef. act,M
414,undef. shark,surfing,M
415,white shark,surfing,F
416,tiger shark,diving,F
417,undef. shark,undef. act,F
418,bull shark,surfing,M
420,bull shark,fishing,M
421,undef. shark,diving,F
422,undef. shark,swimming,M
423,undef. shark,fishing,M
424,undef. shark,swimming,F
425,tiger shark,surfing,M
427,undef. shark,diving,M
428,undef. shark,swimming,F
429,undef. shark,sailing,F
430,undef. shark,swimming,M
431,undef. shark,swimming,F
432,undef. shark,swimming,M
433,undef. shark,swimming,F
434,undef. shark,swimming,M
435,undef. shark,surfing,M
436,undef. shark,fishing,M
437,undef. shark,undef. act,M
438,white shark,surfing,M
439,bull shark,swimming,M
440,undef. shark,swimming,M
441,tiger shark,swimming,M
442,undef. shark,swimming,M
443,undef. shark,surfing,M
444,undef. shark,surfing,F
445,undef. shark,sailing,F
446,undef. shark,fishing,M
447,undef. shark,surfing,M
448,undef. shark,diving,M
449,undef. shark,swimming,M
450,undef. shark,undef. act,M
451,undef. shark,fishing,M
452,undef. shark,surfing,M
453,undef. shark,surfing,M
454,bull shark,sailing,M
455,undef. shark,surfing,M
456,undef. shark,fishing,M
457,tiger shark,swimming,F
459,undef. shark,surfing,M
460,undef. shark,diving,M
461,bull shark,surfing,M
462,undef. shark,undef. act,M
464,undef. shark,swimming,M
465,undef. shark,undef. act,M
466,undef. shark,surfing,M
467,undef. shark,surfing,M
468,undef. shark,diving,M
470,undef. shark,fishing,M
472,undef. shark,surfing,M
473,tiger shark,fishing,M
475,undef. shark,swimming,M
476,undef. shark,swimming,M
477,white shark,swimming,M
481,undef. shark,diving,M
482,undef. shark,undef. act,M
483,white shark,fishing,M
484,undef. shark,surfing,M
485,undef. shark,undef. act,M
486,tiger shark,surfing,M
488,undef. shark,fishing,M
489,undef. shark,swimming,M
490,undef. shark,surfing,M
491,bull shark,sailing,M
492,tiger shark,swimming,M
493,tiger shark,surfing,M
494,undef. shark,surfing,M
496,undef. shark,diving,F
497,tiger shark,diving,M
498,undef. shark,undef. act,M
499,undef. shark,swimming,M
500,undef. shark,surfing,M
501,tiger shark,diving,M
502,tiger shark,surfing,M
503,white shark,surfing,M
504,tiger shark,swimming,F
505,white shark,surfing,M
506,undef. shark,undef. act,F
507,undef. shark,surfing,M
508,undef. shark,sailing,M
509,undef. shark,undef. act,M
510,undef. shark,swimming,F
511,undef. shark,surfing,M
512,undef. shark,undef. act,M
513,undef. shark,surfing,M
514,undef. shark,surfing,M
515,undef. shark,surfing,M
516,bull shark,swimming,F
517,undef. shark,surfing,M
518,undef. shark,surfing,M
519,undef. shark,swimming,M
520,undef. shark,surfing,M
521,undef. shark,surfing,M
522,undef. shark,surfing,M
523,undef. shark,sailing,F
524,tiger shark,fishing,F
525,undef. shark,swimming,F
526,undef. shark,fishing,M
527,undef. shark,surfing,M
528,undef. shark,swimming,M
529,undef. shark,swimming,M
530,undef. shark,fishing,M
531,undef. shark,diving,M
532,bull shark,surfing,M
533,undef. shark,fishing,M
534,undef. shark,surfing,M
535,white shark,surfing,M
536,undef. shark,surfing,M
537,white shark,surfing,M
538,undef. shark,undef. act,M
539,undef. shark,surfing,M
540,undef. shark,swimming,M
541,undef. shark,surfing,F
542,white shark,surfing,M
543,undef. shark,swimming,F
544,undef. shark,fishing,M
545,undef. shark,diving,F
546,undef. shark,surfing,M
547,undef. shark,surfing,M
548,undef. shark,swimming,M
549,bull shark,swimming,M
550,undef. shark,surfing,M
552,undef. shark,surfing,M
553,undef. shark,swimming,M
554,undef. shark,surfing,M
555,undef. shark,sailing,M
556,undef. shark,swimming,F
559,undef. shark,swimming,M
562,undef. shark,surfing,M
563,undef. shark,swimming,M
564,white shark,surfing,M
565,undef. shark,surfing,F
566,undef. shark,sailing,M
567,undef. shark,swimming,F
568,bull shark,diving,M
569,undef. shark,surfing,M
570,tiger shark,fishing,M
571,undef. shark,fishing,M
572,white shark,surfing,M
573,undef. shark,swimming,F
574,white shark,sailing,F
575,undef. shark,surfing,M
576,white shark,sailing,M
577,white shark,surfing,M
578,tiger shark,surfing,M
579,undef. shark,undef. act,M
580,white shark,diving,M
581,undef. shark,surfing,M
582,white shark,undef. act,M
583,bull shark,surfing,M
584,bull shark,surfing,M
585,undef. shark,surfing,F
586,undef. shark,surfing,M
587,undef. shark,surfing,M
589,undef. shark,sailing,M
590,undef. shark,surfing,M
591,undef. shark,swimming,M
592,undef. shark,fishing,M
593,undef. shark,surfing,M
595,white shark,fishing,M
596,undef. shark,surfing,M
597,tiger shark,diving,M
598,undef. shark,diving,M
599,tiger shark,diving,M
600,undef. shark,fishing,M
601,white shark,surfing,M
602,bull shark,swimming,M
603,white shark,surfing,M
604,undef. shark,surfing,M
605,tiger shark,fishing,M
606,undef. shark,undef. act,M
607,undef. shark,swimming,M
608,undef. shark,surfing,M
609,undef. shark,surfing,M
610,undef. shark,surfing,M
611,undef. shark,fishing,M
612,white shark,surfing,M
613,undef. shark,surfing,M
614,undef. shark,surfing,M
615,undef. shark,surfing,F
616,undef. shark,fishing,M
617,undef. shark,surfing,M
618,undef. shark,surfing,M
619,undef. shark,swimming,M
620,white shark,surfing,M
621,undef. shark,diving,M
622,undef. shark,surfing,M
623,undef. shark,diving,M
624,white shark,surfing,M
625,undef. shark,surfing,M
627,white shark,diving,M
628,white shark,surfing,M
629,undef. shark,diving,M
630,undef. shark,surfing,M
631,undef. shark,surfing,M
632,undef. shark,swimming,M
633,undef. shark,surfing,M
634,undef. shark,fishing,M
635,undef. shark,undef. act,M
636,undef. shark,surfing,M
637,undef. shark,fishing,M
638,white shark,swimming,M
639,bull shark,fishing,M
640,undef. shark,undef. act,M
641,undef. shark,surfing,M
642,undef. shark,sailing,M
643,undef. shark,swimming,M
644,undef. shark,surfing,M
645,undef. shark,surfing,M
646,tiger shark,surfing,M
647,undef. shark,surfing,M
648,white shark,sailing,M
649,undef. shark,surfing,M
650,undef. shark,surfing,M
651,undef. shark,swimming,M
652,undef. shark,fishing,F
653,undef. shark,sailing,M
654,undef. shark,surfing,M
655,undef. shark,undef. act,M
656,white shark,surfing,M
657,undef. shark,swimming,M
659,undef. shark,undef. act,M
660,undef. shark,swimming,M
662,undef. shark,sailing,M
663,bull shark,swimming,M
664,undef. shark,surfing,M
665,undef. shark,swimming,M
666,undef. shark,diving,M
667,undef. shark,swimming,M
668,undef. shark,undef. act,M
669,undef. shark,fishing,M
670,white shark,surfing,M
671,undef. shark,sailing,F
672,undef. shark,surfing,M
673,undef. shark,fishing,M
674,undef. shark,diving,M
675,undef. shark,swimming,M
676,undef. shark,fishing,M
677,undef. shark,surfing,M
678,undef. shark,surfing,M
679,undef. shark,diving,M
680,undef. shark,surfing,M
681,undef. shark,diving,M
682,bull shark,surfing,F
683,white shark,surfing,M
684,undef. shark,surfing,M
685,undef. shark,fishing,M
686,undef. shark,surfing,M
687,undef. shark,sailing,M
690,undef. shark,fishing,M
691,undef. shark,fishing,M
692,undef. shark,swimming,M
694,undef. shark,sailing,F
695,white shark,surfing,M
696,tiger shark,surfing,F
697,tiger shark,sailing,F
698,tiger shark,sailing,M
699,bull shark,fishing,M
700,undef. shark,surfing,M
701,undef. shark,surfing,M
702,undef. shark,fishing,M
703,undef. shark,fishing,M
704,undef. shark,fishing,M
705,bull shark,fishing,M
707,undef. shark,surfing,M
709,bull shark,surfing,M
710,undef. shark,diving,M
712,bull shark,swimming,F
713,bull shark,surfing,M
714,undef. shark,swimming,M
715,undef. shark,diving,M
716,undef. shark,undef. act,F
717,undef. shark,undef. act,F
718,undef. shark,surfing,M
719,bull shark,fishing,M
720,undef. shark,fishing,M
721,undef. shark,surfing,M
722,white shark,diving,M
723,undef. shark,fishing,M
724,undef. shark,diving,M
725,undef. shark,fishing,M
726,undef. shark,fishing,M
727,undef. shark,swimming,F
728,undef. shark,fishing,M
730,undef. shark,swimming,F
731,undef. shark,surfing,M
732,undef. shark,swimming,M
733,white shark,fishing,M
734,undef. shark,sailing,M
735,undef. shark,surfing,M
736,undef. shark,surfing,M
738,undef. shark,surfing,M
743,undef. shark,fishing,M
744,undef. shark,swimming,M
745,undef. shark,diving,M
746,undef. shark,diving,M
747,undef. shark,surfing,M
748,white shark,fishing,M
749,white shark,diving,F
750,undef. shark,fishing,M
751,undef. shark,surfing,M
752,undef. shark,fishing,M
753,undef. shark,diving,M
754,undef. shark,surfing,M
755,white shark,sailing,M
756,undef. shark,diving,F
757,bull shark,surfing,M
758,undef. shark,diving,M
759,undef. shark,surfing,F
760,undef. shark,surfing,M
761,white shark,surfing,M
762,undef. shark,surfing,M
763,white shark,swimming,M
764,undef. shark,surfing,M
765,undef. shark,swimming,M
766,undef. shark,swimming,M
767,undef. shark,surfing,M
768,undef. shark,surfing,M
769,undef. shark,surfing,M
770,undef. shark,undef. act,M
771,undef. shark,swimming,M
772,undef. shark,sailing,M
773,white shark,surfing,M
774,white shark,fishing,M
775,undef. shark,fishing,F
776,undef. shark,swimming,F
777,undef. shark,surfing,M
778,undef. shark,surfing,M
779,undef. shark,surfing,M
780,undef. shark,swimming,F
781,white shark,surfing,M
782,undef. shark,sailing,F
783,undef. shark,sailing,M
784,undef. shark,surfing,M
787,undef. shark,surfing,M
788,undef. shark,swimming,M
789,undef. shark,fishing,M
791,undef. shark,diving,F
792,undef. shark,fishing,M
793,undef. shark,surfing,M
794,undef. shark,undef. act,M
795,bull shark,surfing,M
796,undef. shark,sailing,F
797,undef. shark,swimming,F
798,undef. shark,swimming,M
799,undef. shark,sailing,F
800,undef. shark,surfing,M
801,undef. shark,surfing,M
802,undef. shark,fishing,M
803,undef. shark,undef. act,F
804,undef. shark,swimming,F
805,undef. shark,surfing,M
806,undef. shark,diving,M
807,undef. shark,swimming,F
808,undef. shark,undef. act,M
809,undef. shark,surfing,M
810,undef. shark,surfing,M
812,undef. shark,surfing,M
813,undef. shark,swimming,M
814,undef. shark,surfing,M
815,undef. shark,diving,M
816,undef. shark,diving,F
817,undef. shark,surfing,M
818,undef. shark,fishing,M
819,white shark,sailing,M
820,undef. shark,fishing,M
821,undef. shark,fishing,M
822,undef. shark,sailing,M
823,undef. shark,sailing,F
825,undef. shark,surfing,M
826,undef. shark,surfing,M
827,undef. shark,surfing,M
828,white shark,sailing,M
830,undef. shark,undef. act,F
831,undef. shark,undef. act,M
832,undef. shark,swimming,M
833,undef. shark,fishing,M
834,undef. shark,surfing,M
835,undef. shark,swimming,M
836,undef. shark,swimming,M
837,bull shark,swimming,M
838,undef. shark,surfing,M
839,bull shark,fishing,M
840,undef. shark,surfing,M
841,undef. shark,surfing,M
842,white shark,swimming,M
843,undef. shark,surfing,M
844,white shark,surfing,M
846,undef. shark,surfing,M
847,undef. shark,swimming,M
848,undef. shark,fishing,M
849,undef. shark,surfing,M
850,undef. shark,surfing,F
851,undef. shark,surfing,M
852,undef. shark,surfing,M
853,undef. shark,surfing,M
854,white shark,surfing,M
855,bull shark,fishing,M
